document_id,title,abstract,chemical_mesh_ids,disease_mesh_ids,relation_count,chemical_mentions_count,disease_mentions_count
19299179,Severe and long lasting cholestasis after high-dose co-trimoxazole treatment for Pneumocystis pneumonia in HIV-infected patients--a report of two cases.,"Pneumocystis pneumonia (PCP), a common opportunistic infection in HIV-infected individuals, is generally treated with high doses of co-trimoxazole. However, treatment is often limited by adverse effects. Here, we report two cases of severely immunocompromised HIV-infected patients who developed severe intrahepatic cholestasis, and in one patient lesions mimicking liver abscess formation on radiologic exams, during co-trimoxazole treatment for PCP. Whereas patient 1 showed lesions of up to 1 cm r...",D015662,D009894|D002779|D011020|D002780|D008100|D015658,1,4,11
19356053,Clinically significant proteinuria following the administration of sirolimus to renal transplant recipients.,"BACKGROUND: Sirolimus is the latest immunosuppressive agent used to prevent rejection, and may have less nephrotoxicity than calcineurin inhibitor (CNI)-based regimens. To date there has been little documentation of clinically significant proteinuria linked with the use of sirolimus. We have encountered several patients who developed substantial proteinuria associated with sirolimus use. In each patient, the close temporal association between the commencement of sirolimus therapy and proteinuria...",D003404|D020123,D009404|D011507|D007674,1,14,16
19729346,Comparative cognitive and subjective side effects of immediate-release oxycodone in healthy middle-aged and older adults.,"This study measured the objective and subjective neurocognitive effects of a single 10-mg dose of immediate-release oxycodone in healthy, older (> 65 years), and middle-aged (35 to 55 years) adults who were not suffering from chronic or significant daily pain. Seventy-one participants completed 2 separate study days and were blind to medication condition (placebo, 10-mg oxycodone). Plasma oxycodone concentration peaked between 60 and 90 minutes postdose (P < .01) and pupil size, an indication of...",D010098,D003072|D003072|D008569|D010146|D008569|D059350,2,6,5
20080983,Normalizing effects of modafinil on sleep in chronic cocaine users.,"OBJECTIVE: The purpose of the present study was to determine the effect of morning-dosed modafinil on sleep and daytime sleepiness in chronic cocaine users. METHOD: Twenty cocaine-dependent participants were randomly assigned to receive modafinil, 400 mg (N=10), or placebo (N=10) every morning at 7:30 a.m. for 16 days in an inpatient, double-blind randomized trial. Participants underwent polysomnographic sleep recordings on days 1 to 3, 7 to 9, and 14 to 16 (first, second, and third weeks of abs...",D003042|C048833,D012893,1,17,3
20520283,Efficacy and safety of asenapine in a placebo- and haloperidol-controlled trial in patients with acute exacerbation of schizophrenia.,"Asenapine is approved by the Food and Drugs Administration in adults for acute treatment of schizophrenia or of manic or mixed episodes associated with bipolar I disorder with or without psychotic features. In a double-blind 6-week trial, 458 patients with acute schizophrenia were randomly assigned to fixed-dose treatment with asenapine at 5 mg twice daily (BID), asenapine at 10 mg BID, placebo, or haloperidol at 4 mg BID (to verify assay sensitivity). With last observations carried forward (LOC...",D006220|C522667,D011618|D012559|D001480|D001714,2,17,8
20588063,"Permeability, ultrastructural changes, and distribution of novel proteins in the glomerular barrier in early puromycin aminonucleoside nephrosis.","BACKGROUND/AIMS: It is still unclear what happens in the glomerulus when proteinuria starts. Using puromycin aminonucleoside nephrosis (PAN) rats, we studied early ultrastructural and permeability changes in relation to the expression of the podocyte-associated molecules nephrin, a-actinin, dendrin, and plekhh2, the last two of which were only recently discovered in podocytes. METHODS: Using immune stainings, semiquantitative measurement was performed under the electron microscope. Permeability ...",D011692,D009401|D011507,2,2,6
19820426,Twin preterm neonates with cardiac toxicity related to lopinavir/ritonavir therapy.,"We report twin neonates who were born prematurely at 32 weeks of gestation to a mother with human immunodeficiency virus infection. One of the twins developed complete heart block and dilated cardiomyopathy related to lopinavir/ritonavir therapy, a boosted protease-inhibitor agent, while the other twin developed mild bradycardia. We recommend caution in the use of lopinavir/ritonavir in the immediate neonatal period.",C558899,D002311|D006327|D066126|D001919|D015658,3,3,5
1616457,Learning of rats under amnesia caused by pentobarbital.,"Dissociated learning of rats in the normal state and the state of amnesia produced by pentobarbital (15 mg/kg, ip) was carried out. Rats were trained to approach a shelf where they received food reinforcement. In Group 1 the rats were trained under the influence of pentobarbital to run to the same shelf as in the normal state. In Group 2 the rats were trained to approach different shelves in different drug states. It was shown that memory dissociation occurred in both groups. Differences in the ...",D010424,D000647|D008569,1,5,3
567256,Angiosarcoma of the liver associated with diethylstilbestrol.,Angiosarcoma of the liver occurred in a 76-year-old man who had been treated for a well-differentiated adenocarcinoma of the liver with diethylstilbestrol for 13 years. Angiosarcoma was also present within pulmonary and renal arteries. The possibility that the intraarterial lesions might represent independent primary tumors is considered.,D004054,D000230|D006394|D008113|D000230|D008113|D008113|D006394|D009369|D014652,2,2,12
17439425,Role of xanthine oxidase in dexamethasone-induced hypertension in rats.,"1. Glucocorticoid-induced hypertension (GC-HT) in the rat is associated with nitric oxide-redox imbalance. 2. We studied the role of xanthine oxidase (XO), which is implicated in the production of reactive oxygen species, in dexamethasone-induced hypertension (dex-HT). 3. Thirty male Sprague-Dawley rats were divided randomly into four treatment groups: saline, dexamethasone (dex), allopurinol plus saline, and allopurinol plus dex. 4. Systolic blood pressures (SBP) and bodyweights were recorded e...",D000493|D009569|D014527|D003907|D019820,D015431|D006973,2,19,10
9351491,Extrapyramidal side effects with risperidone and haloperidol at comparable D2 receptor occupancy levels.,"Risperidone is an antipsychotic drug with high affinity at dopamine D2 and serotonin 5-HT2 receptors. Previous clinical studies have proposed that risperidone's pharmacologic profile may produce improved efficacy for negative psychotic symptoms and decreased propensity for extrapyramidal side effects; features shared by so-called 'atypical' neuroleptics. To determine if routine risperidone treatment is associated with a unique degree of D2 receptor occupancy and pattern of clinical effects, we u...",D044348|D006220|D004298|D018967,D011618|D010302,2,16,2
18752389,Simvastatin-ezetimibe-induced hepatic failure necessitating liver transplantation.,"Abstract Serum aminotransferase elevations are a commonly known adverse effect of 3-hydroxy-3-methylglutaryl coenzyme A reductase inhibitor (statin) therapy. However, hepatotoxic events have not been widely published with ezetimibe or the combination agent simvastatin-ezetimibe. We describe a 70-year-old Hispanic woman who developed fulminant hepatic failure necessitating liver transplantation 10 weeks after conversion from simvastatin 40 mg/day to simvastatin 10 mg-ezetimibe 40 mg/day. The pati...",C492458|D015283|C532833|D019821|C108606|D014530,D056486|D017114|D017093|D003866|D064420,2,18,11
20098969,"Oral manifestations of ""meth mouth"": a case report.","AIM: The aim of the documentation of this clinical case is to make clinicians aware of ""meth mouth"" and the medical risks associated with this serious condition. BACKGROUND: Methamphetamine is a very addictive, powerful stimulant that increases wakefulness and physical activity and can produce other effects such as cardiac dysrhythmias, hypertension, hallucinations, and violent behavior. Dental patients abusing methamphetamine can present with poor oral hygiene, xerostomia, rampant caries (""meth...",D008694,D014987|D001145|D003731|D006973|D010146|D006212|D057085|D012120|D001523,1,5,16
9653867,Thyroxine abuse: an unusual case of thyrotoxicosis in pregnancy.,"Eating disorders and the associated behavioural problems and drug abuse are uncommon in pregnancy. When they do occur they are often unrecognized because of denial but when significant may pose a risk to both the mother and her fetus. This case illustrates a number of problems that may be encountered in women with eating disorders in pregnancy, including prolonged and recurrent metabolic disturbances and diuretic abuse. In particular it illustrates the derangements of thyroid function seen in pr...",D013974,D001068|D013971|D019966,1,2,6
17608141,Attenuation of methamphetamine-induced nigrostriatal dopaminergic neurotoxicity in mice by lipopolysaccharide pretreatment.,"Immunological activation has been proposed to play a role in methamphetamine-induced dopaminergic terminal damage. In this study, we examined the roles of lipopolysaccharide, a pro-inflammatory and inflammatory factor, treatment in modulating the methamphetamine-induced nigrostriatal dopamine neurotoxicity. Lipopolysaccharide pretreatment did not affect the basal body temperature or methamphetamine-elicited hyperthermia three days later. Such systemic lipopolysaccharide treatment mitigated metha...",D004298|D008694|D008070|D015102,D009422|D005334|D020258,1,26,5
2559236,Effect of converting enzyme inhibition on the course of adriamycin-induced nephropathy.,"The effect of the converting enzyme inhibitor (CEI) enalapril was assessed in Munich-Wistar rats with established adriamycin nephrosis. Rats were given a single dose of adriamycin and one month later divided into four groups matched for albuminuria, blood pressure, and plasma albumin concentration. Groups 1 and 3 remained untreated while groups 2 and 4 received enalapril. Groups 1 and 2 underwent micropuncture studies after 10 days. These short-term studies showed that enalapril reduced arterial...",D004317|D004656,D009401|D000419|D007674,2,10,8
21029050,Butyrylcholinesterase gene mutations in patients with prolonged apnea after succinylcholine for electroconvulsive therapy.,"BACKGROUND: patients undergoing electroconvulsive therapy (ECT) often receive succinylcholine as part of the anesthetic procedure. The duration of action may be prolonged in patients with genetic variants of the butyrylcholinesterase enzyme (BChE), the most common being the K- and the A-variants. The aim of the study was to assess the clinical significance of genetic variants in butyrylcholinesterase gene (BCHE) in patients with a suspected prolonged duration of action of succinylcholine after E...",D013390,D001049,1,4,5
10901305,Ketamine sedation for the reduction of children's fractures in the emergency department.,"BACKGROUND: There recently has been a resurgence in the utilization of ketamine, a unique anesthetic, for emergency-department procedures requiring sedation. The purpose of the present study was to examine the safety and efficacy of ketamine for sedation in the treatment of children's fractures in the emergency department. METHODS: One hundred and fourteen children (average age, 5.3 years; range, twelve months to ten years and ten months) who underwent closed reduction of an isolated fracture or...",D007649,D004204|D014839|D001259|D010146|D006212|D009325|D014947|D050723,3,7,21
19037603,Prophylactic use of lamivudine with chronic immunosuppressive therapy for rheumatologic disorders.,"The objective of this study was to report our experience concerning the effectiveness of the prophylactic administration of lamivudine in hepatitis B virus surface antigen (HBs Ag) positive patients with rheumatologic disease. From June 2004 to October 2006, 11 HBs Ag positive patients with rheumatologic diseases, who were on both immunosuppressive and prophylactic lamivudine therapies, were retrospectively assessed. Liver function tests, hepatitis B virus (HBV) serologic markers, and HBV DNA le...",D006514|D019259,D056486|D006509|D012216,1,9,5
20084309,Safety of transesophageal echocardiography in adults: study in a multidisciplinary hospital.,"BACKGROUND: TEE is a semi-invasive tool broadly used and its utilization associated to sedatives drugs might to affect the procedure safety. OBJECTIVE: to analyze aspects of TEE safety associated to the use of Midazolan (MZ) and Flumazenil (FL) and the influence of the clinical variables on the event rate. METHOD: prospective study with 137 patients that underwent TEE with MZ associated to moderate sedation. We analyzed the following events: complications related with the topical anesthesia, wit...",D008874|D005442,D009202|D000860|D007022|D020521|D000402|D008944,1,11,14
8231633,Effects of calcium channel blockers on bupivacaine-induced toxicity.,"The purpose of this study was to investigate the influence of calcium channel blockers on bupivacaine-induced acute toxicity. For each of the three tested calcium channel blockers (diltiazem, verapamil and bepridil) 6 groups of mice were treated by two different doses, i.e. 2 and 10 mg/kg/i.p., or an equal volume of saline for the control group (n = 20); 15 minutes later, all the animals were injected with a single 50 mg/kg/i.p. dose of bupivacaine. The convulsant activity, the time of latency t...",D015764|D014700|D002118|D002045|D004110,D064420|D012640,1,14,3
10091617,Selegiline-induced postural hypotension in Parkinson's disease: a longitudinal study on the effects of drug withdrawal.,"OBJECTIVES: The United Kingdom Parkinson's Disease Research Group (UKPDRG) trial found an increased mortality in patients with Parkinson's disease (PD) randomized to receive 10 mg selegiline per day and L-dopa compared with those taking L-dopa alone. Recently, we found that therapy with selegiline and L-dopa was associated with selective systolic orthostatic hypotension which was abolished by withdrawal of selegiline. This unwanted effect on postural blood pressure was not the result of underlyi...",D007980|D012642|D000661|D008694,D007024|D010300,1,16,14
19269743,Explicit episodic memory for sensory-discriminative components of capsaicin-induced pain: immediate and delayed ratings.,"Pain memory is thought to affect future pain sensitivity and thus contribute to clinical pain conditions. Systematic investigations of the human capacity to remember sensory features of experimental pain are sparse. In order to address long-term pain memory, nine healthy male volunteers received intradermal injections of three doses of capsaicin (0.05, 1 and 20 microg, separated by 15 min breaks), each given three times in a balanced design across three sessions at one week intervals. Pain ratin...",D002211,D010146,1,4,12
3070035,Reversibility of captopril-induced renal insufficiency after prolonged use in an unusual case of renovascular hypertension.,"We report a case of severe hypertension with an occluded renal artery to a solitary kidney, who developed sudden deterioration of renal function following treatment with captopril. His renal function remained impaired but stable during 2 years' treatment with captopril but returned to pre-treatment levels soon after cessation of the drug. This indicates reversibility in captopril-induced renal failure even after its prolonged use and suggests that no organic damage occurs to glomerular arteriole...",D002216,D006973|D058186|D051437|D006978,1,4,5
1147734,Liver disease caused by propylthiouracil.,"This report presents the clinical, laboratory, and light and electron microscopic observations on a patient with chronic active (aggressive) hepatitis caused by the administration of propylthiouracil. This is an addition to the list of drugs that must be considered in the evaluation of chronic liver disease.",D011441,D008107|D006521,1,2,3
12202650,Capsaicin-induced muscle pain alters the excitability of the human jaw-stretch reflex.,"The pathophysiology of painful temporomandibular disorders is not fully understood, but evidence suggests that muscle pain modulates motor function in characteristic ways. This study tested the hypothesis that activation of nociceptive muscle afferent fibers would be linked to an increased excitability of the human jaw-stretch reflex and whether this process would be sensitive to length and velocity of the stretch. Capsaicin (10 micro g) was injected into the masseter muscle to induce pain in 11...",D002211,D010146|D063806|D013705,1,2,9
18951540,Repetitive transcranial magnetic stimulation for levodopa-induced dyskinesias in Parkinson's disease.,"In a placebo-controlled, single-blinded, crossover study, we assessed the effect of ""real"" repetitive transcranial magnetic stimulation (rTMS) versus ""sham"" rTMS (placebo) on peak dose dyskinesias in patients with Parkinson's disease (PD). Ten patients with PD and prominent dyskinesias had rTMS (1,800 pulses; 1 Hz rate) delivered over the motor cortex for 4 consecutive days twice, once real stimuli and once sham stimulation were used; evaluations were done at the baseline and 1 day after the end...",D007980,D004421|D010300|D004409,1,1,14
19657887,Disulfiram-like syndrome after hydrogen cyanamide professional skin exposure: two case reports in France.,"Hydrogen cyanamide is a plant growth regulator used in agriculture to induce bud break in fruit trees. Contact with the skin can result in percutaneous absorption of the substance that inhibits aldehyde dehydrogenase and can induce acetaldehyde syndrome in case of alcohol use. The purpose of this report is to describe two cases of a disulfiram-like syndrome following occupational exposure to hydrogen cyanamide. The first case involved a 59-year-old man who used Dormex, which contains hydrogen cy...",D000079|D000431|D003484|D004221,D007022|D005483|D013610|D004417,8,16,6
9660111,Repeated trimipramine induces dopamine D2/D3 and alpha1-adrenergic up-regulation.,"Trimipramine (TRI), which shows a clinical antidepressant activity, is chemically related to imipramine but does not inhibit the reuptake of noradrenaline and 5-hydroxytryptamine, nor does it induce beta-adrenergic down-regulation. The mechanism of its antidepressant activity is still unknown. The aim of the present study was to find out whether TRI given repeatedly was able to induce adaptive changes in the dopaminergic and alpha1-adrenergic systems, demonstrated by us previously for various an...",D012110|D004298|D010656|D000928|D006916|D019257|D003000|D007099|D012701|D003913|D014299|D009638|D001058,D010554|D007035|D006948,4,29,3
11431197,Ranitidine-induced acute interstitial nephritis in a cadaveric renal allograft.,"Ranitidine frequently is used for preventing peptic ulceration after renal transplantation. This drug occasionally has been associated with acute interstitial nephritis in native kidneys. There are no similar reports with renal transplantation. We report a case of ranitidine-induced acute interstitial nephritis in a recipient of a cadaveric renal allograft presenting with acute allograft dysfunction within 48 hours of exposure to the drug. The biopsy specimen showed pathognomonic features, inclu...",D011899,D009395,1,3,3
7449470,"Late, late doxorubicin cardiotoxicity.","Cardiac toxicity is a major complication which limits the use of adriamycin as a chemotherapeutic agent. Cardiomyopathy is frequent when the total dose exceeds 600 mg/m2 and occurs within one to six months after cessation of therapy. A patient is reported who developed progressive cardiomyopathy two and one-half years after receiving 580 mg/m2 which apparently represents late, late cardiotoxicity.",D004317,D066126|D009202,1,2,5
8170551,Acetazolamide-induced nephrolithiasis: implications for treatment of neuromuscular disorders.,"Carbonic anhydrase inhibitors can cause nephrolithiasis. We studied 20 patients receiving long-term carbonic anhydrase inhibitor treatment for periodic paralysis and myotonia. Three patients on acetazolamide (15%) developed renal calculi. Extracorporeal lithotripsy successfully removed a renal calculus in one patient and surgery removed a staghorn calculus in another, permitting continued treatment. Renal function remained normal in all patients. Nephrolithiasis is a complication of acetazolamid...",D000086,D009468|D002137|D053040|D010243|D009222|D007669,1,3,9
2476560,Is the treatment of scabies hazardous?,"Treatment for scabies is usually initiated by general practitioners; most consider lindane (gamma benzene hexachloride) the treatment of choice. Lindane is also widely used as an agricultural and industrial pesticide, and as a result the toxic profile of this insecticide is well understood. Evidence is accumulating that lindane can be toxic to the central nervous system and may be associated with aplastic anaemia. Preparations containing lindane continue to be sold over the counter and may repre...",D001556,D000741|D012532|D064420|D002493,2,5,5
19803309,Anaesthetists' nightmare: masseter spasm after induction in an undiagnosed case of myotonia congenita.,"We report an undiagnosed case of myotonia congenita in a 24-year-old previously healthy primigravida, who developed life threatening masseter spasm following a standard dose of intravenous suxamethonium for induction of anaesthesia. Neither the patient nor the anaesthetist was aware of the diagnosis before this potentially lethal complication occurred.",D013390,D009224|D014313,1,1,4
18821488,Toxicity in rhesus monkeys following administration of the 8-aminoquinoline 8-[(4-amino-l-methylbutyl)amino]- 5-(l-hexyloxy)-6-methoxy-4-methylquinoline (WR242511).,"INTRODUCTION: Many substances that form methemoglobin (MHb) effectively counter cyanide (CN) toxicity. Although MHb formers are generally applied as treatments for CN poisoning, it has been proposed that a stable, long-acting MHb former could serve as a CN pretreatment. Using this rationale, the 8-aminoquinoline WR242511, a potent long-lasting MHb former in rodents and beagle dogs, was studied in the rhesus monkey for advanced development as a potential CN pretreatment. METHODS: In this study, W...",C068820|C080436,D056486|D007674|D006456|D009212|D008708|D056486|D007674|D011041|D064420,4,10,12
8372922,Neuroplasticity of the adult primate auditory cortex following cochlear hearing loss.,"Tonotopic organization is an essential feature of the primary auditory area (A1) of primate cortex. In A1 of macaque monkeys, low frequencies are represented rostrolaterally and high frequencies are represented caudomedially. The purpose of this study was to determine if changes occur in this tonotopic organization following cochlear hearing loss. Under anesthesia, the superior temporal gyrus of adult macaque monkeys was exposed, and the tonotopic organization of A1 was mapped using conventional...",D007612|D005665,D034381,2,2,3
9195768,The site of common side effects of sumatriptan.,"Atypical sensations following the use of subcutaneous sumatriptan are common, but of uncertain origin. They are almost always benign, but can be mistaken for a serious adverse event by the patient. Two patients are presented with tingling or burning sensations limited to areas of heat exposure or sunburn. In these individuals, side effects are most likely generated superficially in the skin.",D018170,D013471|D010292,1,2,3
15338796,"Tremor side effects of salbutamol, quantified by a laser pointer technique.","OBJECTIVE: To study tremor side effects of salbutamol an easily applicable, quick and low-priced method is needed. A new method using a commercially available, pen-shaped laser pointer was developed. Aim of the study was to determine sensitivity, reproducibility, reference values and the agreement with a questionnaire. METHODS: Tremor was measured using a laser pointer technique. To determine sensitivity we assessed tremor in 44 patients with obstructive lung disease after administration of cumu...",D000420,D014202|D008173,1,4,16
12627929,Increased frequency of venous thromboembolism with the combination of docetaxel and thalidomide in patients with metastatic androgen-independent prostate cancer.,"STUDY OBJECTIVE: To evaluate the frequency of venous thromboembolism (VTE) in patients with advanced androgen-independent prostate cancer who were treated with docetaxel alone or in combination with thalidomide. DESIGN: Retrospective analysis of a randomized phase II trial. SETTING: National Institutes of Health clinical research center. PATIENTS: Seventy men, aged 50-80 years, with advanced androgen-independent prostate cancer. INTERVENTION: Each patient received either intravenous docetaxel 30...",C067311|D013792,D064420|D011471|D054556,2,13,11
6634932,"Sublingual absorption of the quaternary ammonium antiarrhythmic agent, UM-272.","UM-272 (N,N-dimethylpropranolol), a quaternary antiarrhythmic agent, was administered sublingually to dogs with ouabain-induced ventricular tachycardias. Both anti-arrhythmic efficacy and bioavailability were compared to oral drug. Sublingual UM-272 converted ventricular tachycardia to sinus rhythm in all 5 dogs. The area under the plasma concentration time curve at 90 min was 4-12 times greater than for oral drug, suggesting the existence of an absorption-limiting process in the intestine, and ...",D000644|C002616|D010042,D017180,1,6,2
18791946,Severe thrombocytopenia and haemolytic anaemia associated with ciprofloxacin: a case report with fatal outcome.,Haematological adverse reactions associated with fatal outcome are rare during treatment with ciprofloxacin. A 30-year old Caucasian man reported with abdominal pain and jaundice after 3-day administration of oral ciprofloxacin for a suspect of urinary tract infection. Clinical evaluations suggested an initial diagnosis of severe thrombocytopenia and haemolysis. The patient progressively developed petechiae and purpura on thorax and lower limbs. Despite pharmacological and supportive interventio...,D002939,D014552|D006470|D013927|D006461|D015746|D000743|D007565|D013921|D001855|D014652|D011693,5,4,15
17344566,Simvastatin-induced bilateral leg compartment syndrome and myonecrosis associated with hypothyroidism.,A 54-year-old hypothyroid male taking thyroxine and simvastatin presented with bilateral leg compartment syndrome and myonecrosis. Urgent fasciotomies were performed and the patient made an uneventful recovery with the withdrawal of simvastatin. It is likely that this complication will be seen more often with the increased worldwide use of this drug and its approval for all arteriopathic patients.,D013974|D019821,D003161|D007037|D014652|D009135,1,4,7
9293063,Bile duct hamartoma occurring in association with long-term treatment with danazol.,"We report a case of bile duct hamartoma which developed in a patient who had been on long-term danazol treatment. Such patients should be under close follow-up, preferably with periodic ultrasound examination of the liver. If the patient develops a liver mass, because of non-specific clinical features and imaging appearances, biopsy may be the only way to achieve a definitive diagnosis.",D003613,D001650|D001650|D006222|D008107|D006222,2,2,7
1728522,Granulomatous hepatitis due to combination of amoxicillin and clavulanic acid.,"We report the case of a patient with amoxicillin-clavulanic acid-induced hepatitis with histologic multiple granulomas. This type of lesion broadens the spectrum of liver injury due to this drug combination, mainly represented by a benign cholestatic syndrome. The association of granulomas and eosinophilia favor an immunoallergic mechanism. As penicillin derivatives and amoxicillin alone are known to induce such types of lesions, the amoxicillin component, with or without a potentiating effect o...",D019818|D000658|D019980|D010406,D006099|D056486|D006099|D056486|D004802|D002779,3,6,9
10807237,Intracranial aneurysms and cocaine abuse: analysis of prognostic indicators.,"OBJECTIVE: The outcome of subarachnoid hemorrhage associated with cocaine abuse is reportedly poor. However, no study in the literature has reported the use of a statistical model to analyze the variables that influence outcome. METHODS: A review of admissions during a 6-year period revealed 14 patients with cocaine-related aneurysms. This group was compared with a control group of 135 patients with ruptured aneurysms and no history of cocaine abuse. Age at presentation, time of ictus after into...",D003042,D013345|D000783|D019970|D017542|D002532,1,3,15
12536034,Anti-epileptic drugs-induced de novo absence seizures.,"The authors present three patients with de novo absence epilepsy after administration of carbamazepine and vigabatrin. Despite the underlying diseases, the prognosis for drug-induced de novo absence seizure is good because it subsides rapidly after discontinuing the use of the offending drugs. The gamma-aminobutyric acid-transmitted thalamocortical circuitry accounts for a major part of the underlying neurophysiology of the absence epilepsy. Because drug-induced de novo absence seizure is rare, ...",D005680|D020888|D002220,D004827|D004832|D012640,2,3,12
7234705,Procainamide-induced polymorphous ventricular tachycardia.,"Seven cases of procainamide-induced polymorphous ventricular tachycardia are presented. In four patients, polymorphous ventricular tachycardia appeared after intravenous administration of 200 to 400 mg of procainamide for the treatment of sustained ventricular tachycardia. In the remaining three patients, procainamide was administered orally for treatment of chronic premature ventricular contractions or atrial flutter. These patients had Q-T prolongation and recurrent syncope due to polymorphous...",D011342,D001282|D008133|D013575|D017180|D001145|D018879|D014693,1,6,16
8955532,Role of activation of bradykinin B2 receptors in disruption of the blood-brain barrier during acute hypertension.,Cellular mechanisms which account for disruption the blood-brain barrier during acute hypertension are not clear. The goal of this study was to determine the role of synthesis/release of bradykinin to activate B2 receptors in disruption of the blood-brain barrier during acute hypertension. Permeability of the blood-brain barrier was quantitated by clearance of fluorescent-labeled dextran before and during phenylephrine-induced acute hypertension in rats treated with vehicle and Hoe-140 (0.1 micr...,D003911|D001920|D010656|C065679,D006973,1,8,5
2578334,5-azacytidine potentiates initiation induced by carcinogens in rat liver.,"To test the validity of the hypothesis that hypomethylation of DNA plays an important role in the initiation of carcinogenic process, 5-azacytidine (5-AzC) (10 mg/kg), an inhibitor of DNA methylation, was given to rats during the phase of repair synthesis induced by the three carcinogens, benzo[a]-pyrene (200 mg/kg), N-methyl-N-nitrosourea (60 mg/kg) and 1,2-dimethylhydrazine (1,2-DMH) (100 mg/kg). The initiated hepatocytes in the liver were assayed as the gamma-glutamyltransferase (gamma-GT) po...",D008770|C014347|D015073|D019813|D001374|D002251|D003596|D001564,D011230,6,16,2
11532387,Withdrawal-emergent rabbit syndrome during dose reduction of risperidone.,"Rabbit syndrome (RS) is a rare extrapyramidal side effect caused by prolonged neuroleptic medication. Here we present a case of withdrawal-emergent RS, which is the first of its kind to be reported. The patient developed RS during dose reduction of risperidone. The symptom was treated successfully with trihexyphenidyl anticholinergic therapy. The underlying mechanism of withdrawal-emergent RS in the present case may have been related to the pharmacological profile of risperidone, a serotonin-dop...",D014282|D012701|D004298|D018967,D013375|D001480|D001480|D013375,2,7,13
3173179,Verapamil withdrawal as a possible cause of myocardial infarction in a hypertensive woman with a normal coronary angiogram.,"Verapamil is an effective and relatively-safe antihypertensive drug. Serious adverse effects are uncommon and mainly have been related to the depression of cardiac contractility and conduction, especially when the drug is combined with beta-blocking agents. We report a case in which myocardial infarction coincided with the introduction of captopril and the withdrawal of verapamil in a previously asymptomatic woman with severe hypertension. Possible mechanisms that involve a verapamil-related inc...",D014700|D002216|D002395,D006973|D009203|D003866,1,6,5
3856631,Remission induction of meningeal leukemia with high-dose intravenous methotrexate.,"Twenty children with acute lymphoblastic leukemia who developed meningeal disease were treated with a high-dose intravenous methotrexate regimen that was designed to achieve and maintain CSF methotrexate concentrations of 10(-5) mol/L without the need for concomitant intrathecal dosing. The methotrexate was administered as a loading dose of 6,000 mg/m2 for a period of one hour followed by an infusion of 1,200 mg/m2/h for 23 hours. Leucovorin rescue was initiated 12 hours after the end of the inf...",D008727|D001663|D002955,D010291|D008577|D012640|D009503|D054198|D052016|D064420|D002493,4,9,9
2522601,"Hypersensitivity to carbamazepine presenting with a leukemoid reaction, eosinophilia, erythroderma, and renal failure.","We report a patient in whom hypersensitivity to carbamazepine presented with generalized erythroderma, a severe leukemoid reaction, eosinophilia, hyponatremia, and renal failure. This is the first report of such an unusual reaction to carbamazepine.",D002220,D007010|D003873|D004802|D051437|D007955|D004342,5,3,11
8741744,The interpeduncular nucleus regulates nicotine's effects on free-field activity.,"Partial lesions were made with kainic acid in the interpeduncular nucleus of the ventral midbrain of the rat. Compared with sham-operated controls, lesions significantly (p < 0.25) blunted the early (<60 min) free-field locomotor hypoactivity caused by nicotine (0.5 mg kg(-1), i.m.), enhanced the later (60-120 min) nicotine-induced hyperactivity, and raised spontaneous nocturnal activity. Lesions reduced the extent of immunohistological staining for choline acetyltransferase in the interpeduncul...",D007608|D002794|D014443|D009538,D009069|D003866|D006948,1,6,3
17491223,Assessment of a new non-invasive index of cardiac performance for detection of dobutamine-induced myocardial ischemia.,"BACKGROUND: Electrocardiography has a very low sensitivity in detecting dobutamine-induced myocardial ischemia. OBJECTIVES: To assess the added diagnostic value of a new cardiac performance index (dP/dtejc) measurement, based on brachial artery flow changes, as compared to standard 12-lead ECG, for detecting dobutamine-induced myocardial ischemia, using Tc99m-Sestamibi single-photon emission computed tomography as the gold standard of comparison to assess the presence or absence of ischemia. MET...",D004280|D017256,D017202|D007511,1,8,6
18004067,Acute liver failure in two patients with regular alcohol consumption ingesting paracetamol at therapeutic dosage.,BACKGROUND: The possible role of alcohol in the development of hepatotoxicity associated with therapeutic doses of paracetamol (acetaminophen) is currently debated. CASE REPORT: We describe 2 patients who were regular consumers of alcohol and who developed liver failure within 3-5 days after hospitalization and stopping alcohol consumption while being treated with 4 g paracetamol/day. A paracetamol serum level obtained in one of these patients was not in the toxic range. Possible risk factors fo...,D000082|D000431,D017093|D056486|D017114,2,13,5
12443032,Cocaine related chest pain: are we seeing the tip of an iceberg?,"The recreational use of cocaine is on the increase. The emergency nurse ought to be familiar with some of the cardiovascular consequences of cocaine use. In particular, the tendency of cocaine to produce chest pain ought to be in the mind of the emergency nurse when faced with a young victim of chest pain who is otherwise at low risk. The mechanism of chest pain related to cocaine use is discussed and treatment dilemmas are discussed. Finally, moral issues relating to the testing of potential co...",D003042,D002637,1,6,4
